"name","slug","region_code","region_label","temp_offset","latitude","longitude","pin_order"
"Hà Nội","ha-noi","dbbb","Đồng bằng Bắc Bộ","0","21.0285","105.8542","2"
"Hải Phòng","hai-phong","dbbb","Đồng bằng Bắc Bộ","0","20.8449","106.6881",
"Bắc Ninh","bac-ninh","dbbb","Đồng bằng Bắc Bộ","0","21.1861","106.0763",
"Hải Dương","hai-duong","dbbb","Đồng bằng Bắc Bộ","0","20.941","106.333",
"Hưng Yên","hung-yen","dbbb","Đồng bằng Bắc Bộ","0","20.6464","106.0511",
"Thái Bình","thai-binh","dbbb","Đồng bằng Bắc Bộ","0","20.45","106.34",
"Hà Nam","ha-nam","dbbb","Đồng bằng Bắc Bộ","0","20.5413","105.9139",
"Nam Định","nam-dinh","dbbb","Đồng bằng Bắc Bộ","0","20.4339","106.1773",
"Ninh Bình","ninh-binh","dbbb","Đồng bằng Bắc Bộ","0","20.2581","105.9797",
"Vĩnh Phúc","vinh-phuc","dbbb","Đồng bằng Bắc Bộ","0","21.3089","105.6049",
"Hà Đông","ha-dong","dbbb","Đồng bằng Bắc Bộ","0","20.9714","105.7788",
"Quảng Ninh","quang-ninh","dongbac","Đông Bắc","0","20.9505","107.0734",
"Bắc Giang","bac-giang","dongbac","Đông Bắc","0","21.2731","106.1946",
"Thái Nguyên","thai-nguyen","dongbac","Đông Bắc","0","21.5928","105.8442",
"Tuyên Quang","tuyen-quang","dongbac","Đông Bắc","0","21.8236","105.2142",
"Cao Bằng","cao-bang","dongbac","Đông Bắc","0","22.6657","106.2579",
"Bắc Kạn","bac-kan","dongbac","Đông Bắc","0","22.147","105.8348",
"Lạng Sơn","lang-son","dongbac","Đông Bắc","0","21.8526","106.761",
"Phú Thọ","phu-tho","dongbac","Đông Bắc","0","21.3996","105.2222",
"Yên Bái","yen-bai","dongbac","Đông Bắc","0","21.7229","104.9113",
"Hà Giang","ha-giang","dongbac","Đông Bắc","0","22.8233","104.9836",
"Sơn La","son-la","taybac","Tây Bắc","0","21.3256","103.9188",
"Điện Biên","dien-bien","taybac","Tây Bắc","0","21.386","103.023",
"Lai Châu","lai-chau","taybac","Tây Bắc","0","22.3964","103.4582",
"Lào Cai","lao-cai","taybac","Tây Bắc","0","22.4856","103.9707",
"Hoà Bình","hoa-binh","taybac","Tây Bắc","0","20.8172","105.3376",
"Sa Pa","sa-pa","taybac","Tây Bắc","-3","22.3364","103.8438",
"Mộc Châu","moc-chau","taybac","Tây Bắc","-3","20.8436","104.6344",
"Tam Đảo","tam-dao","taybac","Tây Bắc","-3","21.4583","105.6472",
"Thanh Hoá","thanh-hoa","bactrung","Bắc Trung Bộ","0","19.8","105.7667",
"Nghệ An","nghe-an","bactrung","Bắc Trung Bộ","0","18.6734","105.6923",
"Hà Tĩnh","ha-tinh","bactrung","Bắc Trung Bộ","0","18.3428","105.9057",
"Quảng Bình","quang-binh","bactrung","Bắc Trung Bộ","0","17.4689","106.6223",
"Quảng Trị","quang-tri","bactrung","Bắc Trung Bộ","0","16.7508","107.1828",
"Huế","hue","bactrung","Bắc Trung Bộ","0","16.4637","107.5909","6"
"Vinh","vinh","bactrung","Bắc Trung Bộ","0","18.6734","105.6923",
"Đồng Hới","dong-hoi","bactrung","Bắc Trung Bộ","0","17.4689","106.6223",
"Đà Nẵng","da-nang","trungtrung","Trung Trung Bộ","0","16.0544","108.2022","3"
"Quảng Nam","quang-nam","trungtrung","Trung Trung Bộ","0","15.5736","108.474",
"Hội An","hoi-an","trungtrung","Trung Trung Bộ","0","15.8801","108.338",
"Quảng Ngãi","quang-ngai","trungtrung","Trung Trung Bộ","0","15.1205","108.7923",
"Tam Kỳ","tam-ky","trungtrung","Trung Trung Bộ","0","15.5736","108.474",
"Nha Trang","nha-trang","namtrung","Nam Trung Bộ","0","12.2388","109.1967","5"
"Bình Định","binh-dinh","namtrung","Nam Trung Bộ","0","13.7765","109.2237",
"Quy Nhơn","quy-nhon","namtrung","Nam Trung Bộ","0","13.7765","109.2237",
"Phú Yên","phu-yen","namtrung","Nam Trung Bộ","0","13.0882","109.3134",
"Tuy Hoà","tuy-hoa","namtrung","Nam Trung Bộ","0","13.0882","109.3134",
"Khánh Hoà","khanh-hoa","namtrung","Nam Trung Bộ","0","12.2388","109.1967",
"Ninh Thuận","ninh-thuan","namtrung","Nam Trung Bộ","0","11.5643","108.9886",
"Phan Rang","phan-rang","namtrung","Nam Trung Bộ","0","11.5643","108.9886",
"Bình Thuận","binh-thuan","namtrung","Nam Trung Bộ","0","10.9289","108.1021",
"Phan Thiết","phan-thiet","namtrung","Nam Trung Bộ","0","10.9289","108.1021",
"Cam Ranh","cam-ranh","namtrung","Nam Trung Bộ","0","11.9214","109.1591",
"Đà Lạt","da-lat","taynguyen","Tây Nguyên","0","11.9404","108.4583","4"
"Lâm Đồng","lam-dong","taynguyen","Tây Nguyên","0","11.9404","108.4583",
"Đắk Lắk","dak-lak","taynguyen","Tây Nguyên","0","12.6675","108.0378",
"Buôn Ma Thuột","buon-ma-thuot","taynguyen","Tây Nguyên","0","12.6675","108.0378",
"Gia Lai","gia-lai","taynguyen","Tây Nguyên","0","13.9833","108",
